"SECTOR","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Fuel Comb - Electric Generation - Coal","VA","51","Wise","195","Nitrogen Oxides","CAP","1035.1","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Rockingham","165","Nitrogen Oxides","CAP","1032.31056663","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Fauquier","061","Nitrogen Oxides","CAP","1029.96781834","TON"
"Mobile - Aircraft","VA","51","Loudoun","107","Nitrogen Oxides","CAP","996.5790757242","TON"
"Industrial Processes - Oil & Gas Production","VA","51","Dickenson","051","Nitrogen Oxides","CAP","994.66083499","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Hopewell city","670","Nitrogen Oxides","CAP","970.7882","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Chesterfield","041","Nitrogen Oxides","CAP","940.7","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Frederick","069","Nitrogen Oxides","CAP","930.46020586","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Hampton city","650","Nitrogen Oxides","CAP","920.04538155","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Shenandoah","171","Nitrogen Oxides","CAP","912.2483908","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Loudoun","107","Nitrogen Oxides","CAP","910.76602401187","TON"
"Industrial Processes - NEC","VA","51","Orange","137","Nitrogen Oxides","CAP","900.145905","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Wythe","197","Nitrogen Oxides","CAP","899.1903187","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Rockbridge","163","Nitrogen Oxides","CAP","897.342336","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Prince William","153","Nitrogen Oxides","CAP","885.3858092","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Caroline","033","Nitrogen Oxides","CAP","860.63217355","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Suffolk city","800","Nitrogen Oxides","CAP","853.96410619","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Roanoke city","770","Nitrogen Oxides","CAP","842.4925665","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Montgomery","121","Nitrogen Oxides","CAP","838.9645525","TON"
"Mobile - Commercial Marine Vessels","VA","51","Accomack","001","Nitrogen Oxides","CAP","833.26766","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Shenandoah","171","Nitrogen Oxides","CAP","797.90579615","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Roanoke","161","Nitrogen Oxides","CAP","797.56046695","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Bedford","019","Nitrogen Oxides","CAP","790.79055516","TON"
"Fuel Comb - Residential - Natural Gas","VA","51","Fairfax","059","Nitrogen Oxides","CAP","772.4184","TON"
"Mobile - Aircraft","VA","51","Arlington","013","Nitrogen Oxides","CAP","765.525234372","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Virginia Beach city","810","Nitrogen Oxides","CAP","758.8025681","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Frederick","069","Nitrogen Oxides","CAP","755.3195122","TON"
"Mobile - Aircraft","VA","51","Newport News city","700","Nitrogen Oxides","CAP","745.2879012652","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Botetourt","023","Nitrogen Oxides","CAP","743.560583","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Hanover","085","Nitrogen Oxides","CAP","732.9289227","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","VA","51","Covington city","580","Nitrogen Oxides","CAP","732.4169","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Henrico","087","Nitrogen Oxides","CAP","713.0044377","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Pittsylvania","143","Nitrogen Oxides","CAP","694.39298912","TON"
"Mobile - Commercial Marine Vessels","VA","51","Hampton city","650","Nitrogen Oxides","CAP","693.09204784","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Henry","089","Nitrogen Oxides","CAP","682.28490008","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Wythe","197","Nitrogen Oxides","CAP","682.12553566","TON"
"Mobile - Aircraft","VA","51","Norfolk city","710","Nitrogen Oxides","CAP","678.748991973","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Montgomery","121","Nitrogen Oxides","CAP","671.3245607","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Lynchburg city","680","Nitrogen Oxides","CAP","667.0121538","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Rockingham","165","Nitrogen Oxides","CAP","659.549598","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Carroll","035","Nitrogen Oxides","CAP","657.2720351","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Botetourt","023","Nitrogen Oxides","CAP","649.55581438","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Stafford","179","Nitrogen Oxides","CAP","649.1377631","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Chesterfield","041","Nitrogen Oxides","CAP","642.9465511","TON"
"Fuel Comb - Electric Generation - Natural Gas","VA","51","Hanover","085","Nitrogen Oxides","CAP","640.021","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Campbell","031","Nitrogen Oxides","CAP","638.20237694","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Caroline","033","Nitrogen Oxides","CAP","625.6593469","TON"
"Industrial Processes - Pulp & Paper","VA","51","Hopewell city","670","Nitrogen Oxides","CAP","621.1197745","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Franklin","067","Nitrogen Oxides","CAP","620.46655849","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Rockbridge","163","Nitrogen Oxides","CAP","614.01887715","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Arlington","013","Nitrogen Oxides","CAP","608.2207829","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","VA","51","Fairfax","059","Nitrogen Oxides","CAP","601.6269","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Stafford","179","Nitrogen Oxides","CAP","596.9634945","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Washington","191","Nitrogen Oxides","CAP","589.80595654","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","VA","51","Hopewell city","670","Nitrogen Oxides","CAP","580.537068","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Louisa","109","Nitrogen Oxides","CAP","575.32708389","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Washington","191","Nitrogen Oxides","CAP","545.0452042","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Chesapeake city","550","Nitrogen Oxides","CAP","543.4295329","TON"
"Fuel Comb - Electric Generation - Natural Gas","VA","51","Hopewell city","670","Nitrogen Oxides","CAP","540.18","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Goochland","075","Nitrogen Oxides","CAP","537.96586048","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Mecklenburg","117","Nitrogen Oxides","CAP","523.8454242","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Carroll","035","Nitrogen Oxides","CAP","522.18761209","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Fauquier","061","Nitrogen Oxides","CAP","516.52799013","TON"
"Mobile - Locomotives","VA","51","Bedford","019","Nitrogen Oxides","CAP","512.450563","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Suffolk city","800","Nitrogen Oxides","CAP","502.2169468","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Warren","187","Nitrogen Oxides","CAP","495.82109687","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Montgomery","121","Nitrogen Oxides","CAP","487.278","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","York","199","Nitrogen Oxides","CAP","486.0677393","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","James city","095","Nitrogen Oxides","CAP","485.10197295","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Halifax","083","Nitrogen Oxides","CAP","483.77395472","TON"
"Industrial Processes - NEC","VA","51","Buchanan","027","Nitrogen Oxides","CAP","483.1","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","New Kent","127","Nitrogen Oxides","CAP","481.54613702","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Spotsylvania","177","Nitrogen Oxides","CAP","479.6510605","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Pulaski","155","Nitrogen Oxides","CAP","478.58978643","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Prince William","153","Nitrogen Oxides","CAP","467.7115624","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Albemarle","003","Nitrogen Oxides","CAP","467.5680377","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Chesapeake city","550","Nitrogen Oxides","CAP","464.14550797","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","VA","51","Alexandria city","510","Nitrogen Oxides","CAP","461.173","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Roanoke","161","Nitrogen Oxides","CAP","459.19280293","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Hopewell city","670","Nitrogen Oxides","CAP","459.06646","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Accomack","001","Nitrogen Oxides","CAP","456.6657629525","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Culpeper","047","Nitrogen Oxides","CAP","452.15619819","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Dinwiddie","053","Nitrogen Oxides","CAP","451.88626745","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Accomack","001","Nitrogen Oxides","CAP","449.42688238","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Isle of Wight","093","Nitrogen Oxides","CAP","448.69541399","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Richmond city","760","Nitrogen Oxides","CAP","433.94120912","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Portsmouth city","740","Nitrogen Oxides","CAP","433.31735327","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Gloucester","073","Nitrogen Oxides","CAP","427.55207001","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Arlington","013","Nitrogen Oxides","CAP","424.61769393","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Chesterfield","041","Nitrogen Oxides","CAP","424.40027918726","TON"
"Industrial Processes - Pulp & Paper","VA","51","Isle of Wight","093","Nitrogen Oxides","CAP","420.09541","TON"
"Industrial Processes - NEC","VA","51","James city","095","Nitrogen Oxides","CAP","418.2687","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Fairfax","059","Nitrogen Oxides","CAP","417.5135268192","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Pulaski","155","Nitrogen Oxides","CAP","414.2617193","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Smyth","173","Nitrogen Oxides","CAP","408.65116597","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Richmond city","760","Nitrogen Oxides","CAP","402.6930458","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Norfolk city","710","Nitrogen Oxides","CAP","390.6990763","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Amherst","009","Nitrogen Oxides","CAP","387.67819421","TON"
"Fuel Comb - Electric Generation - Biomass","VA","51","Covington city","580","Nitrogen Oxides","CAP","379.5","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","VA","51","Covington city","580","Nitrogen Oxides","CAP","376.32206","TON"
"Mobile - Locomotives","VA","51","Botetourt","023","Nitrogen Oxides","CAP","374.0237794","TON"
"Mobile - Locomotives","VA","51","Montgomery","121","Nitrogen Oxides","CAP","367.8079","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Danville city","590","Nitrogen Oxides","CAP","367.40611877","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Prince George","149","Nitrogen Oxides","CAP","364.40521625","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Powhatan","145","Nitrogen Oxides","CAP","355.87143891","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Northampton","131","Nitrogen Oxides","CAP","355.712554868503","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Alexandria city","510","Nitrogen Oxides","CAP","354.77803582","TON"
"Biogenics - Vegetation and Soil","VA","51","Pittsylvania","143","Nitrogen Oxides","CAP","349.6986","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Mecklenburg","117","Nitrogen Oxides","CAP","349.2379557","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Loudoun","107","Nitrogen Oxides","CAP","348.2086595","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Orange","137","Nitrogen Oxides","CAP","346.2728082","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Tazewell","185","Nitrogen Oxides","CAP","343.86309627","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Henrico","087","Nitrogen Oxides","CAP","341.8682244","TON"
"Industrial Processes - Oil & Gas Production","VA","51","Wise","195","Nitrogen Oxides","CAP","335.7189232198","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Wise","195","Nitrogen Oxides","CAP","334.05994445","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Sussex","183","Nitrogen Oxides","CAP","332.40619526","TON"
"Mobile - Locomotives","VA","51","Pittsylvania","143","Nitrogen Oxides","CAP","327.909417","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Prince George","149","Nitrogen Oxides","CAP","326.4918315","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Russell","167","Nitrogen Oxides","CAP","324.54393456","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Dinwiddie","053","Nitrogen Oxides","CAP","324.1991596","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Virginia Beach city","810","Nitrogen Oxides","CAP","323.7064357","TON"
"Mobile - Locomotives","VA","51","Giles","071","Nitrogen Oxides","CAP","320.1254","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Brunswick","025","Nitrogen Oxides","CAP","318.3029529","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Sussex","183","Nitrogen Oxides","CAP","313.33256048","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Southampton","175","Nitrogen Oxides","CAP","312.89474302","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Brunswick","025","Nitrogen Oxides","CAP","312.58972383","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Frederick","069","Nitrogen Oxides","CAP","309.99457193","TON"
"Industrial Processes - Oil & Gas Production","VA","51","Tazewell","185","Nitrogen Oxides","CAP","306.27419268","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Rockingham","165","Nitrogen Oxides","CAP","302.66253209","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Smyth","173","Nitrogen Oxides","CAP","300.0165429","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Petersburg city","730","Nitrogen Oxides","CAP","299.93706702","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Newport News city","700","Nitrogen Oxides","CAP","298.58219598","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Norfolk city","710","Nitrogen Oxides","CAP","291.9124228","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Hanover","085","Nitrogen Oxides","CAP","289.16114328726","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","VA","51","Mecklenburg","117","Nitrogen Oxides","CAP","287.6","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","New Kent","127","Nitrogen Oxides","CAP","284.9147454","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Bland","021","Nitrogen Oxides","CAP","283.76027672","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Greensville","081","Nitrogen Oxides","CAP","283.27050347","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Hanover","085","Nitrogen Oxides","CAP","278.818387282","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Page","139","Nitrogen Oxides","CAP","278.53676691","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Newport News city","700","Nitrogen Oxides","CAP","277.8909","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Harrisonburg city","660","Nitrogen Oxides","CAP","277.63351392","TON"
"Mobile - Locomotives","VA","51","Campbell","031","Nitrogen Oxides","CAP","277.008409","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Clarke","043","Nitrogen Oxides","CAP","275.43642476","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Scott","169","Nitrogen Oxides","CAP","274.358319009","TON"
"Industrial Processes - Oil & Gas Production","VA","51","Russell","167","Nitrogen Oxides","CAP","274.03539386","TON"
"Biogenics - Vegetation and Soil","VA","51","Halifax","083","Nitrogen Oxides","CAP","273.6218","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Goochland","075","Nitrogen Oxides","CAP","268.8493912","TON"
"Fuel Comb - Residential - Natural Gas","VA","51","Prince William","153","Nitrogen Oxides","CAP","268.4432","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Greensville","081","Nitrogen Oxides","CAP","267.351728082","TON"
"Mobile - Locomotives","VA","51","Dinwiddie","053","Nitrogen Oxides","CAP","263.2073","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Fairfax","059","Nitrogen Oxides","CAP","263.1528","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Prince Edward","147","Nitrogen Oxides","CAP","262.38406369","TON"
"Industrial Processes - NEC","VA","51","Bedford","019","Nitrogen Oxides","CAP","262.1578","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","King George","099","Nitrogen Oxides","CAP","262.09200646","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Warren","187","Nitrogen Oxides","CAP","260.7627435","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Southampton","175","Nitrogen Oxides","CAP","260.0747733","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Virginia Beach city","810","Nitrogen Oxides","CAP","259.22485396","TON"
"Biogenics - Vegetation and Soil","VA","51","Fauquier","061","Nitrogen Oxides","CAP","258.0529","TON"
"Biogenics - Vegetation and Soil","VA","51","Loudoun","107","Nitrogen Oxides","CAP","257.4391","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Nelson","125","Nitrogen Oxides","CAP","256.8321538","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Newport News city","700","Nitrogen Oxides","CAP","256.05509205","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Alleghany","005","Nitrogen Oxides","CAP","255.954882098","TON"
"Fuel Comb - Residential - Natural Gas","VA","51","Loudoun","107","Nitrogen Oxides","CAP","254.272","TON"
"Fuel Comb - Electric Generation - Natural Gas","VA","51","Brunswick","025","Nitrogen Oxides","CAP","253.4653","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Northampton","131","Nitrogen Oxides","CAP","250.84309006","TON"
"Biogenics - Vegetation and Soil","VA","51","Bedford","019","Nitrogen Oxides","CAP","250.0183","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Alleghany","005","Nitrogen Oxides","CAP","249.694813","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Buchanan","027","Nitrogen Oxides","CAP","246.8809922","TON"
"Fuel Comb - Electric Generation - Natural Gas","VA","51","Fluvanna","065","Nitrogen Oxides","CAP","246.4","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Pittsylvania","143","Nitrogen Oxides","CAP","244.7777706","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Accomack","001","Nitrogen Oxides","CAP","242.26691558","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Fredericksburg city","630","Nitrogen Oxides","CAP","241.86516867","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Greensville","081","Nitrogen Oxides","CAP","241.803903","TON"
"Biogenics - Vegetation and Soil","VA","51","Rockingham","165","Nitrogen Oxides","CAP","241.7107","TON"
"Fuel Comb - Electric Generation - Biomass","VA","51","Hopewell city","670","Nitrogen Oxides","CAP","240.8","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Bland","021","Nitrogen Oxides","CAP","238.346066466","TON"
"Biogenics - Vegetation and Soil","VA","51","Augusta","015","Nitrogen Oxides","CAP","238.2737","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Campbell","031","Nitrogen Oxides","CAP","237.13964","TON"
"Mobile - Commercial Marine Vessels","VA","51","Chesapeake city","550","Nitrogen Oxides","CAP","236.39561","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Louisa","109","Nitrogen Oxides","CAP","235.2827423","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Amherst","009","Nitrogen Oxides","CAP","233.16455","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Charlottesville city","540","Nitrogen Oxides","CAP","232.32229121","TON"
"Fuel Comb - Electric Generation - Biomass","VA","51","Southampton","175","Nitrogen Oxides","CAP","232.1","TON"
"Biogenics - Vegetation and Soil","VA","51","Southampton","175","Nitrogen Oxides","CAP","231.2103","TON"
"Biogenics - Vegetation and Soil","VA","51","Mecklenburg","117","Nitrogen Oxides","CAP","227.8965","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Patrick","141","Nitrogen Oxides","CAP","227.687116787","TON"
"Mobile - Locomotives","VA","51","Sussex","183","Nitrogen Oxides","CAP","226.65655","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Roanoke city","770","Nitrogen Oxides","CAP","226.11123025","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Hampton city","650","Nitrogen Oxides","CAP","225.16365158","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Campbell","031","Nitrogen Oxides","CAP","224","TON"
"Mobile - Locomotives","VA","51","Goochland","075","Nitrogen Oxides","CAP","221.9838","TON"
